name,price,cuisine,reviews,Location url,location,no. of reviews,City
Sweety Juice Bar & Restaurant,?100 for one,Burger,4.2,https://www.zomato.com/jalandhar/sweety-juice-bar-restaurant-shastri-nagar/order,Shastri Nagar,10.3K,Jalandhar
Sweety Juice Bar & Restaurant,?100 for one,Chinese,4.2,https://www.zomato.com/jalandhar/sweety-juice-bar-restaurant-shastri-nagar/order,Shastri Nagar,10.3K,Jalandhar
Sweety Juice Bar & Restaurant,?100 for one,South Indian,4.2,https://www.zomato.com/jalandhar/sweety-juice-bar-restaurant-shastri-nagar/order,Shastri Nagar,10.3K,Jalandhar
Sweety Juice Bar & Restaurant,?100 for one,Fast Food,4.2,https://www.zomato.com/jalandhar/sweety-juice-bar-restaurant-shastri-nagar/order,Shastri Nagar,10.3K,Jalandhar
Sweety Juice Bar & Restaurant,?100 for one,Pizza,4.2,https://www.zomato.com/jalandhar/sweety-juice-bar-restaurant-shastri-nagar/order,Shastri Nagar,10.3K,Jalandhar
Sweety Juice Bar & Restaurant,?100 for one,Desserts,4.2,https://www.zomato.com/jalandhar/sweety-juice-bar-restaurant-shastri-nagar/order,Shastri Nagar,10.3K,Jalandhar
La Pino'z Pizza,?100 for one,Pizza,3.9,https://www.zomato.com/jalandhar/la-pinoz-pizza-ppr-market/order,PPR Market,473,Jalandhar
La Pino'z Pizza,?100 for one,Fast Food,3.9,https://www.zomato.com/jalandhar/la-pinoz-pizza-ppr-market/order,PPR Market,473,Jalandhar
Kartar Vaishno Dhaba,?100 for one,North Indian,3.5,https://www.zomato.com/jalandhar/kartar-vaishno-dhaba-shastri-nagar/order,Shastri Nagar,13.6K,Jalandhar
Kartar Vaishno Dhaba,?100 for one,Chinese,3.5,https://www.zomato.com/jalandhar/kartar-vaishno-dhaba-shastri-nagar/order,Shastri Nagar,13.6K,Jalandhar
Anil Fast Food And Ice Cream,?200 for one,Fast Food,4.2,https://www.zomato.com/jalandhar/anil-fast-food-and-ice-cream-shastri-nagar/order,Shastri Nagar,10.5K,Jalandhar
Anil Fast Food And Ice Cream,?200 for one,Chinese,4.2,https://www.zomato.com/jalandhar/anil-fast-food-and-ice-cream-shastri-nagar/order,Shastri Nagar,10.5K,Jalandhar
Anil Fast Food And Ice Cream,?200 for one,Pizza,4.2,https://www.zomato.com/jalandhar/anil-fast-food-and-ice-cream-shastri-nagar/order,Shastri Nagar,10.5K,Jalandhar
Anil Fast Food And Ice Cream,?200 for one,South Indian,4.2,https://www.zomato.com/jalandhar/anil-fast-food-and-ice-cream-shastri-nagar/order,Shastri Nagar,10.5K,Jalandhar
Anil Fast Food And Ice Cream,?200 for one,Beverages,4.2,https://www.zomato.com/jalandhar/anil-fast-food-and-ice-cream-shastri-nagar/order,Shastri Nagar,10.5K,Jalandhar
WOK Singh,?200 for one,Chinese,4.2,https://www.zomato.com/jalandhar/wok-singh-model-town/order,Model Town,"3,004",Jalandhar
WOK Singh,?200 for one,Seafood,4.2,https://www.zomato.com/jalandhar/wok-singh-model-town/order,Model Town,"3,004",Jalandhar
WOK Singh,?200 for one,Japanese,4.2,https://www.zomato.com/jalandhar/wok-singh-model-town/order,Model Town,"3,004",Jalandhar
WOK Singh,?200 for one,Beverages,4.2,https://www.zomato.com/jalandhar/wok-singh-model-town/order,Model Town,"3,004",Jalandhar
WOK Singh,?200 for one,Sushi,4.2,https://www.zomato.com/jalandhar/wok-singh-model-town/order,Model Town,"3,004",Jalandhar
Baba Chicken Since 1964,?200 for one,North Indian,4,https://www.zomato.com/jalandhar/baba-chicken-since-1964-model-town/order,Model Town,11.2K,Jalandhar
Baba Chicken Since 1964,?200 for one,Chinese,4,https://www.zomato.com/jalandhar/baba-chicken-since-1964-model-town/order,Model Town,11.2K,Jalandhar
Baba Chicken Since 1964,?200 for one,Seafood,4,https://www.zomato.com/jalandhar/baba-chicken-since-1964-model-town/order,Model Town,11.2K,Jalandhar
Baba Chicken Since 1964,?200 for one,Desserts,4,https://www.zomato.com/jalandhar/baba-chicken-since-1964-model-town/order,Model Town,11.2K,Jalandhar
Baba Chicken Since 1964,?200 for one,Beverages,4,https://www.zomato.com/jalandhar/baba-chicken-since-1964-model-town/order,Model Town,11.2K,Jalandhar
Baba Chicken Since 1964,?200 for one,Asian,4,https://www.zomato.com/jalandhar/baba-chicken-since-1964-model-town/order,Model Town,11.2K,Jalandhar
Baithak,?200 for one,North Indian,4.1,https://www.zomato.com/jalandhar/baithak-model-town/order,Model Town,35.1K,Jalandhar
